@relation NewRelation
@attribute Field_000 numeric
@attribute Field_001 numeric
@attribute Field_002 numeric
@attribute Field_003 numeric
@attribute Field_004 numeric
@attribute Field_005 numeric
@attribute Field_006 numeric
@attribute Field_007 numeric
@attribute Field_008 numeric
@attribute Field_009 numeric
@attribute Field_010 numeric
@attribute Field_011 numeric
@attribute Field_012 numeric
@attribute Field_013 numeric
@attribute Field_014 numeric
@attribute Field_015 numeric
@attribute Field_016 numeric
@attribute Field_017 numeric
@attribute Field_018 numeric
@attribute Field_019 numeric
@attribute Field_020 numeric
@attribute Field_021 numeric
@attribute Field_022 numeric
@attribute Field_023 numeric
@attribute Field_024 numeric
@attribute Field_025 numeric
@attribute Field_026 numeric
@attribute Field_027 numeric
@attribute Field_028 numeric
@attribute Field_029 numeric
@attribute Field_030 numeric
@attribute Field_031 numeric
@attribute Field_032 numeric
@attribute Field_033 numeric
@attribute Field_034 numeric
@attribute Field_035 numeric
@attribute Field_036 numeric
@attribute Field_037 numeric
@attribute Field_038 numeric
@attribute Field_039 numeric
@attribute Field_040 numeric
@attribute Field_041 numeric
@attribute Field_042 numeric
@attribute Field_043 numeric
@attribute Field_044 numeric
@attribute Field_045 numeric
@attribute Field_046 numeric
@attribute Field_047 numeric
@attribute Field_048 numeric
@attribute Field_049 numeric
@attribute Field_050 numeric
@attribute Field_051 numeric
@attribute Field_052 numeric
@attribute Field_053 numeric
@attribute Field_054 numeric
@attribute Field_055 numeric
@attribute Field_056 numeric
@attribute Field_057 numeric
@attribute Field_058 numeric
@attribute Field_059 numeric
@attribute Field_060 numeric
@attribute Field_061 numeric
@attribute Field_062 numeric
@attribute Field_063 numeric
@attribute Field_064 numeric
@attribute Field_065 numeric
@attribute Field_066 numeric
@attribute Field_067 numeric
@attribute Field_068 numeric
@attribute Field_069 numeric
@attribute Field_070 numeric
@attribute Field_071 numeric
@attribute Field_072 numeric
@attribute Field_073 numeric
@attribute Field_074 numeric
@attribute Field_075 numeric
@attribute Field_076 numeric
@attribute Field_077 numeric
@attribute Field_078 numeric
@attribute Field_079 numeric
@attribute Field_080 numeric
@attribute Field_081 numeric
@attribute Field_082 numeric
@attribute Field_083 numeric
@attribute Field_084 numeric
@attribute Field_085 numeric
@attribute Field_086 numeric
@attribute Field_087 numeric
@attribute Field_088 numeric
@attribute Field_089 numeric
@attribute Field_090 numeric
@attribute Field_091 numeric
@attribute Field_092 numeric
@attribute Field_093 numeric
@attribute Field_094 numeric
@attribute Field_095 numeric
@attribute Field_096 numeric
@attribute Field_097 numeric
@attribute Field_098 numeric
@attribute Field_099 numeric
@attribute Field_100 numeric
@attribute Field_101 numeric
@attribute Field_102 numeric
@attribute Field_103 numeric
@attribute Field_104 numeric
@attribute Field_105 numeric
@attribute Field_106 numeric
@attribute Field_107 numeric
@attribute Field_108 numeric
@attribute Field_109 numeric
@attribute Field_110 numeric
@attribute Field_111 numeric
@attribute Field_112 numeric
@attribute Field_113 numeric
@attribute Field_114 numeric
@attribute Field_115 numeric
@attribute Field_116 numeric
@attribute Field_117 numeric
@attribute Field_118 numeric
@attribute Field_119 numeric
@attribute Field_120 numeric
@attribute Field_121 numeric
@attribute Field_122 numeric
@attribute Field_123 numeric
@attribute Field_124 numeric
@attribute Field_125 numeric
@attribute Field_126 numeric
@attribute Field_127 numeric
@attribute Field_128 numeric
@attribute Field_129 numeric
@attribute Field_130 numeric
@attribute Field_131 numeric
@attribute Field_132 numeric
@attribute Field_133 numeric
@attribute Field_134 numeric
@attribute Field_135 numeric
@attribute Field_136 numeric
@attribute Field_137 numeric
@attribute Field_138 numeric
@attribute Field_139 numeric
@attribute Field_140 numeric
@attribute Field_141 numeric
@attribute Field_142 numeric
@attribute Field_143 numeric
@attribute Field_144 numeric
@attribute Field_145 numeric
@attribute Field_146 numeric
@attribute Field_147 numeric
@attribute Field_148 numeric
@attribute Field_149 numeric
@attribute Field_150 numeric
@attribute Field_151 numeric
@attribute Field_152 numeric
@attribute Field_153 numeric
@attribute Field_154 numeric
@attribute Field_155 numeric
@attribute Field_156 numeric
@attribute Field_157 numeric
@attribute Field_158 numeric
@attribute Field_159 numeric
@attribute Field_160 numeric
@attribute Field_161 numeric
@attribute Field_162 numeric
@attribute Field_163 numeric
@attribute Field_164 numeric
@attribute Field_165 numeric
@attribute Field_166 numeric
@attribute Field_167 numeric
@attribute Field_168 numeric
@attribute Field_169 numeric
@attribute Field_170 numeric
@attribute Field_171 numeric
@attribute Field_172 numeric
@attribute Field_173 numeric
@attribute Field_174 numeric
@attribute Field_175 numeric
@attribute Field_176 numeric
@attribute Field_177 numeric
@attribute Field_178 numeric
@attribute Field_179 numeric
@attribute Field_180 numeric
@attribute Field_181 numeric
@attribute Field_182 numeric
@attribute Field_183 numeric
@attribute Field_184 numeric
@attribute Field_185 numeric
@attribute Field_186 numeric
@attribute Field_187 numeric
@attribute Field_188 numeric
@attribute Field_189 numeric
@attribute Field_190 numeric
@attribute Field_191 numeric
@attribute Field_192 numeric
@attribute Field_193 numeric
@attribute Field_194 numeric
@attribute Field_195 numeric
@attribute Field_196 numeric
@attribute Field_197 numeric
@attribute Field_198 numeric
@attribute Field_199 numeric
@attribute Field_200 numeric
@attribute Field_201 numeric
@attribute Field_202 numeric
@attribute Field_203 numeric
@attribute Field_204 numeric
@attribute Field_205 numeric
@attribute Field_206 numeric
@attribute Field_207 numeric
@attribute Field_208 numeric
@attribute Field_209 numeric
@attribute Field_210 numeric
@attribute Field_211 numeric
@attribute Field_212 numeric
@attribute Field_213 numeric
@attribute Field_214 numeric
@attribute Field_215 numeric
@attribute Field_216 numeric
@attribute Field_217 numeric
@attribute Field_218 numeric
@attribute Field_219 numeric
@attribute Field_220 numeric
@attribute Field_221 numeric
@attribute Field_222 numeric
@attribute Field_223 numeric
@attribute Field_224 numeric
@attribute Field_225 numeric
@attribute Field_226 numeric
@attribute Field_227 numeric
@attribute Field_228 numeric
@attribute Field_229 numeric
@attribute Field_230 numeric
@attribute Field_231 numeric
@attribute Field_232 numeric
@attribute Field_233 numeric
@attribute Field_234 numeric
@attribute Field_235 numeric
@attribute Field_236 numeric
@attribute Field_237 numeric
@attribute Field_238 numeric
@attribute Field_239 numeric
@attribute Field_240 numeric
@attribute Field_241 numeric
@attribute Field_242 numeric
@attribute Field_243 numeric
@attribute Field_244 numeric
@attribute Field_245 numeric
@attribute Field_246 numeric
@attribute Field_247 numeric
@attribute Field_248 numeric
@attribute Field_249 numeric
@attribute Field_250 numeric
@attribute Field_251 numeric
@attribute Field_252 numeric
@attribute Field_253 numeric
@attribute Field_254 numeric
@attribute Field_255 numeric
@attribute Field_256 numeric
@attribute Field_257 numeric
@attribute Field_258 numeric
@attribute Field_259 numeric
@attribute Field_260 numeric
@attribute Field_261 numeric
@attribute Field_262 numeric
@attribute Field_263 numeric
@attribute Field_264 numeric
@attribute Field_265 numeric
@attribute Field_266 numeric
@attribute Field_267 numeric
@attribute Field_268 numeric
@attribute Field_269 numeric
@attribute Field_270 numeric
@attribute Field_271 numeric
@attribute Field_272 numeric
@attribute Field_273 numeric
@attribute Field_274 numeric
@attribute Field_275 numeric
@attribute Field_276 numeric
@attribute Field_277 numeric
@attribute Field_278 numeric
@attribute Field_279 numeric
@attribute Field_280 numeric
@attribute Field_281 numeric
@attribute Field_282 numeric
@attribute Field_283 numeric
@attribute Field_284 numeric
@attribute Field_285 numeric
@attribute Field_286 numeric
@attribute Field_287 numeric
@attribute Field_288 numeric
@attribute Field_289 numeric
@attribute Field_290 numeric
@attribute Field_291 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
144,150,572,676,596,629,6,5,13,2,2,1,203,327,589,613,613,972,1,26,18,13,4,13,267,375,666,572,948,703,30,24,8,11,12,12,383,423,652,721,793,906,30,30,18,8,12,9,308,438,640,753,891,724,31,30,8,9,13,6,272,332,457,713,974,686,30,22,5,13,12,10,254,332,688,520,654,1042,5,34,18,10,12,12,270,276,631,483,634,884,2,28,11,15,5,8,345,269,762,635,740,966,18,11,10,10,10,7,357,293,550,771,929,739,22,22,26,5,11,10,288,302,398,660,839,699,21,23,10,9,7,16,326,124,635,705,610,723,15,14,9,8,1,11,302,132,631,723,656,657,13,14,7,11,2,10,250,338,563,579,700,950,10,27,3,9,12,5,262,344,528,574,882,726,13,21,0,4,13,12,394,374,650,869,1117,595,21,7,24,2,13,11,384,372,851,732,598,1178,12,12,10,10,13,3,173,337,547,581,637,662,14,32,20,11,14,7,0.02945244,0.17333525,0.08574006,0.27843277,0.51028091,0.04203292,0.41568131,0.03407847,0.39935314,0.1458868,0.03442819,0.18249377,0.01834729,0.35871171,0.10781705,0.0101822,0.17328629,0.04797824,0.09519379,0.11368775,0.03469577,0.04736446,0.00776628,0.17732719,0.01038413,0.02055381,0.10337759,0.05209503,0.05034726,0.07135447,0.02156855,0.02357887,0.01681497,0.09911779,0.0294285,0.03742133,0.06162928,0.01516549,0.0469124,0.03176597,0.00550822,0.0365009,0.02421528,0.04130908,0.05071952,0.03028198,0.02853294,0.05363724,0.02535694,0.04528569,0.06379815,0.03898782,0.04884812,0.0291492,0.05143716,0.06610619,0.05298023,0.08232785,0.08365167,0.03132958,0.04451807,0.04077127,0.08192943,0.1313309,0.07492236,0.1595398,0.10015438,0.02526726,0.04484146,0.15434463,0.09419947,0.28809629,0.06916724,0.44473005,0.07765875,0.35497372,0
118,134,580,615,596,668,2,5,6,2,5,3,239,429,611,566,625,993,3,22,25,13,7,15,289,401,652,565,996,738,34,28,15,11,19,10,275,501,688,684,811,931,26,30,25,8,15,11,242,532,662,718,911,765,35,30,15,9,16,8,228,426,493,728,1038,727,34,26,2,13,15,8,228,400,722,499,700,1063,9,30,25,10,17,14,272,308,653,416,714,907,6,30,18,17,12,10,345,335,794,556,716,987,20,7,19,10,11,11,347,299,546,800,961,764,26,24,15,5,6,8,262,320,394,661,883,738,25,29,3,9,12,14,254,200,631,644,670,748,11,10,12,10,6,9,262,192,635,644,724,696,9,10,14,11,7,12,284,376,595,568,742,987,14,23,12,9,19,7,288,386,564,609,964,765,17,25,7,8,18,8,366,286,670,884,1179,634,25,7,17,2,8,7,350,334,869,681,586,1203,8,8,17,10,8,3,259,433,525,492,609,687,14,36,13,15,13,11,0.03979995,0.18891854,0.05113824,0.25342139,0.5665025,0.01432146,0.41339946,0.0531568,0.34072815,0.11708573,0.04464894,0.27152113,0.01836548,0.3523615,0.20711114,0.02277789,0.15095897,0.05798824,0.11027778,0.09298314,0.05463638,0.1756995,0.01227263,0.20895541,0.12530941,0.02882044,0.08271758,0.06773698,0.14728664,0.07938083,0.07053393,0.11188237,0.02781443,0.12163905,0.09470101,0.02839942,0.04826509,0.06297309,0.11290877,0.07512944,0.07495933,0.06963367,0.02443696,0.02417776,0.04464367,0.08644504,0.03647536,0.11756393,0.06654787,0.10669631,0.04119598,0.0374185,0.03181306,0.08781212,0.04898583,0.13065647,0.058627,0.12344734,0.02771822,0.01624565,0.02324778,0.12422732,0.03051865,0.1637996,0.03539368,0.18051174,0.01726698,0.03950913,0.02030597,0.20191038,0.00377982,0.31913714,0.01617061,0.44041645,0.04349598,0.35285855,0
158,146,608,582,631,655,3,8,1,3,3,3,259,427,623,559,672,1000,2,19,32,14,3,17,297,475,660,594,1069,731,33,31,22,12,15,14,287,557,684,657,864,930,27,31,32,7,11,7,246,544,674,721,980,750,34,31,22,8,10,10,228,426,489,751,1111,720,33,29,9,12,15,12,258,422,716,512,751,1060,8,27,32,11,15,10,284,288,665,431,767,912,5,25,25,18,8,12,349,357,764,505,763,1000,21,6,24,11,7,11,335,373,592,807,1034,755,25,21,18,6,10,12,290,288,438,688,954,717,24,24,4,10,10,18,290,172,677,611,725,741,12,11,11,11,4,13,322,160,647,593,793,683,10,11,11,12,3,14,302,398,583,571,795,968,13,20,17,10,15,9,284,398,560,642,1019,764,16,28,14,9,16,10,338,354,686,919,1246,613,24,10,10,3,10,11,368,334,877,632,623,1200,9,5,24,9,10,5,243,405,577,453,642,676,13,33,12,14,17,11,0.05787328,0.07177357,0.04295931,0.31993711,0.58053401,0.05194588,0.42236949,0.08293634,0.41802046,0.07773263,0.05009434,0.19845884,0.09070078,0.3471251,0.17873431,0.04868334,0.14003624,0.05917822,0.03644198,0.07361484,0.04663175,0.09135038,0.05883595,0.15450273,0.09094995,0.04198917,0.09425563,0.06379504,0.04540825,0.06705848,0.04053242,0.04689784,0.05654026,0.0676552,0.0503068,0.03956425,0.06712199,0.0481877,0.03202538,0.0584962,0.03338006,0.01288106,0.03750938,0.04867336,0.04026254,0.04174639,0.02176751,0.04625973,0.02784434,0.05163137,0.05271161,0.07799165,0.04233253,0.0854839,0.02555293,0.07963325,0.02148457,0.06480372,0.03888023,0.12324331,0.03128069,0.14809831,0.00331819,0.149011,0.01346301,0.09522635,0.04493944,0.16424048,0.03098485,0.30026693,0.06688001,0.41317159,0.01843413,0.40069744,0.07540692,0.3632832,0
132,174,627,686,617,674,5,7,13,2,3,4,185,357,672,615,654,1003,0,20,18,11,3,10,235,399,669,642,1003,742,31,30,30,13,11,11,353,451,735,765,784,899,29,32,34,10,13,10,290,456,715,809,894,755,32,32,30,11,12,7,210,346,564,819,1049,763,31,28,17,15,11,11,206,354,795,590,741,1071,6,28,34,10,11,13,246,316,720,485,761,927,3,26,35,15,4,9,329,267,807,629,723,1011,19,5,36,10,9,10,345,293,581,823,988,742,25,22,4,3,8,9,238,308,449,754,912,780,22,25,14,7,6,15,286,182,666,709,717,782,14,10,19,6,2,10,282,162,662,717,757,738,12,10,25,9,3,9,224,400,652,655,783,1021,11,21,29,11,11,8,246,402,627,662,1005,801,16,27,24,4,12,11,394,330,703,939,1210,626,22,9,24,2,10,8,364,350,924,752,607,1189,11,6,32,12,10,4,215,423,548,541,596,645,13,34,16,11,13,10,0.05278637,0.22754783,0.06478058,0.2888622,0.45890047,0.02248125,0.40860385,0.0247983,0.38344939,0.19297554,0.05961851,0.09720567,0.05329711,0.2663778,0.05754113,0.0327112,0.19499755,0.04988364,0.10522943,0.13670068,0.03760943,0.02761768,0.07060105,0.15176283,0.04605984,0.06198639,0.11275215,0.03552229,0.08754183,0.06835779,0.01622138,0.06949024,0.08601925,0.06889238,0.07012178,0.06535866,0.04788703,0.04320817,0.08184207,0.01444542,0.04821115,0.0610327,0.06600915,0.02009804,0.04664762,0.07457154,0.0581427,0.02806665,0.0397536,0.03069042,0.04075291,0.10840312,0.05829528,0.0865286,0.03352547,0.03349503,0.01708871,0.10279814,0.03945096,0.10737882,0.04016328,0.05946882,0.00783622,0.12150866,0.03107084,0.181663,0.02012847,0.12390891,0.01176489,0.06145362,0.02668652,0.28098408,0.01490603,0.42330152,0.04448889,0.42426668,0
100,86,576,581,612,660,3,6,2,3,2,3,257,423,621,568,641,1029,2,23,33,12,2,15,327,495,656,567,1026,740,33,27,23,12,12,10,327,543,674,650,831,939,27,31,33,9,12,11,284,570,656,706,937,759,34,31,23,8,11,8,314,444,485,718,1068,739,33,25,10,14,12,8,312,474,722,481,722,1099,8,31,33,9,12,14,338,352,661,400,738,941,5,31,26,16,5,10,385,351,792,514,736,1023,21,8,25,9,10,9,387,359,544,792,993,768,25,25,19,6,11,8,350,328,406,657,915,754,24,30,5,10,7,14,278,200,629,618,694,780,12,9,10,9,3,9,262,158,635,602,756,712,10,9,10,10,0,12,318,440,591,550,766,1007,13,24,18,8,12,7,320,438,552,609,990,783,16,24,15,7,13,10,392,370,658,888,1211,624,24,6,9,1,13,9,388,378,875,635,604,1235,9,9,25,9,13,1,247,425,531,482,617,691,13,35,13,14,14,9,0.05134089,0.14383318,0.03990645,0.34551982,0.57010502,0.03824079,0.38575497,0.05942042,0.40144588,0.10376964,0.02479935,0.22537311,0.06157513,0.34951249,0.19054388,0.02055328,0.15431787,0.07600484,0.07630551,0.10047478,0.02300317,0.13965835,0.06867086,0.18289449,0.11434466,0.0181391,0.10985731,0.04741445,0.08410666,0.09524907,0.02561046,0.09832456,0.04995269,0.11116332,0.08073495,0.02267072,0.09346153,0.05516105,0.0530594,0.0884702,0.03357885,0.06857852,0.03181628,0.1093622,0.03315503,0.0489246,0.04174836,0.09276825,0.02001338,0.09425719,0.04549837,0.02670553,0.03330526,0.07870101,0.04521715,0.1092163,0.01187521,0.11665446,0.0432785,0.05181636,0.0294205,0.11323722,0.04336866,0.18526302,0.00809049,0.15483952,0.06216348,0.01909252,0.0435476,0.20670279,0.06945406,0.32355627,0.04027954,0.41455423,0.07154796,0.39159979,0
105,141,567,744,614,660,3,3,14,3,2,6,242,430,650,681,627,1015,8,28,17,12,4,16,316,382,677,614,936,738,39,22,7,12,16,7,246,454,685,785,797,933,27,22,17,9,12,14,247,507,663,805,893,759,40,30,7,8,13,11,245,429,520,765,970,739,39,20,6,14,16,9,243,367,757,582,662,1085,14,36,17,9,16,15,277,299,684,547,634,927,11,32,10,16,9,13,318,332,831,699,750,1009,21,15,9,11,8,8,348,296,517,835,923,758,31,24,25,6,9,9,283,329,433,708,829,754,30,27,11,10,11,11,283,169,602,777,606,766,12,8,10,9,3,8,255,201,620,787,652,712,10,16,8,10,4,15,305,365,650,635,708,1001,19,29,2,8,16,10,307,369,583,614,886,777,22,19,1,5,17,11,369,371,647,907,1109,622,30,15,25,1,9,10,303,305,922,802,612,1221,3,14,9,9,9,4,272,384,510,635,653,679,19,32,19,12,16,12,0.10238188,0.19841802,0.18931205,0.26893807,0.52800451,0.03735575,0.40206097,0.17554886,0.35100092,0.13438576,0.12962196,0.1729629,0.11312642,0.26317499,0.1477573,0.03111432,0.12084161,0.13289302,0.00605524,0.08655574,0.15308017,0.05867445,0.08545237,0.06988958,0.0623696,0.04622322,0.05803065,0.13109074,0.0239201,0.02992534,0.14487937,0.03743984,0.08332521,0.0412818,0.02560338,0.05503491,0.03717436,0.12054554,0.02349909,0.05143172,0.12136673,0.01655657,0.05127136,0.04555333,0.07022448,0.02383411,0.13410695,0.03063397,0.1358984,0.02813579,0.11362008,0.01295829,0.06910291,0.03789691,0.10611297,0.08723814,0.13522839,0.10268353,0.08088835,0.02832569,0.04161465,0.06619609,0.09293041,0.21584104,0.11819356,0.16962109,0.07371156,0.08094519,0.02467666,0.170473,0.06105072,0.30985901,0.04858624,0.41673635,0.09444719,0.3716476,0
114,134,628,665,589,663,4,8,1,5,4,4,197,443,661,628,620,1006,1,23,30,14,6,14,247,423,718,635,1009,741,32,27,20,10,18,9,295,507,726,734,814,920,28,31,30,7,16,12,236,534,704,776,922,764,33,33,20,8,17,7,208,428,529,792,1051,734,32,27,7,12,18,7,198,422,764,559,691,1074,7,31,30,11,18,15,242,318,699,478,707,926,4,33,23,18,11,9,325,377,838,604,727,1006,20,10,22,11,10,10,333,323,596,856,974,765,24,25,16,6,9,7,248,278,460,729,894,749,23,32,2,12,13,13,246,162,681,698,665,767,13,9,13,13,5,8,232,206,691,692,733,707,11,7,13,12,6,11,246,372,647,624,735,1000,12,24,15,10,18,6,248,372,596,677,959,776,15,24,12,11,19,9,360,276,714,956,1186,629,23,6,12,5,11,8,346,360,925,727,583,1222,10,9,22,9,11,2,253,405,577,544,610,674,12,37,10,14,14,10,0.01948374,0.17985085,0.03295655,0.2824533,0.56905426,0.01174661,0.436781,0.0108426,0.36632538,0.10305767,0.01899936,0.24363436,0.03871976,0.41104893,0.18692299,0.03554651,0.15069833,0.01968535,0.11920009,0.09771024,0.01970336,0.13367961,0.04982402,0.17259466,0.10700849,0.04266307,0.11199175,0.04469537,0.08510666,0.08933873,0.02169772,0.09275948,0.040105,0.12371269,0.06842916,0.04646284,0.09018613,0.05882889,0.07547082,0.07872651,0.03623455,0.06605856,0.06298026,0.0878782,0.03482827,0.05069325,0.04199218,0.09594701,0.02305961,0.09049439,0.02140989,0.05767363,0.02724745,0.07996871,0.01315727,0.14677609,0.0193573,0.11347773,0.02076116,0.07031455,0.02301106,0.12995677,0.01097074,0.22925676,0.01575472,0.17213581,0.01244947,0.0709828,0.02276205,0.2134186,0.00734105,0.33008658,0.017016,0.42443791,0.021334,0.37222592,0
110,148,670,597,570,664,8,6,5,2,5,5,289,413,767,594,615,1029,5,21,36,13,7,19,381,461,700,623,940,744,28,29,26,15,19,12,353,523,788,676,725,941,32,29,36,8,17,9,360,546,766,744,839,767,37,25,26,11,16,12,340,448,627,792,986,743,32,27,13,13,17,10,342,474,862,549,700,1099,13,29,36,10,17,14,350,340,799,472,728,941,10,31,29,17,12,14,337,375,866,514,662,1023,16,12,28,10,9,7,405,345,622,858,943,766,32,23,22,5,8,10,366,296,538,721,861,760,29,30,8,9,14,16,346,186,707,630,680,780,17,15,9,10,6,11,292,214,689,602,700,716,15,13,11,11,7,16,364,368,743,604,744,1013,18,22,21,9,19,11,372,372,686,693,966,789,23,26,18,8,20,12,450,360,752,960,1163,628,29,12,6,2,10,11,370,448,1017,649,562,1235,14,11,28,10,10,5,225,343,579,480,511,687,16,35,16,15,13,13,0.12159232,0.13753973,0.12931972,0.24182004,0.67081022,0.03390173,0.38695278,0.10803644,0.29099479,0.06923834,0.06091043,0.37426589,0.01105977,0.39750677,0.20264669,0.11333022,0.04985555,0.05843355,0.27476244,0.09961238,0.14927209,0.16008839,0.13107668,0.03670958,0.03913597,0.05070053,0.12942521,0.16392028,0.15899811,0.06205909,0.16942181,0.03494483,0.03436603,0.15391536,0.05749981,0.06174314,0.06111047,0.16220516,0.08209675,0.03269422,0.09604747,0.09874482,0.10429374,0.06164494,0.06825099,0.03894456,0.11351524,0.03340144,0.12833963,0.00976524,0.06452908,0.01356685,0.01712823,0.01326163,0.1366912,0.02301043,0.15634637,0.05461212,0.09027189,0.07530093,0.08075527,0.13729477,0.12498547,0.04657769,0.11413183,0.01641561,0.174046,0.17903413,0.10459654,0.30566822,0.0898341,0.39172512,0.08207867,0.41125709,0.13029979,0.37134031,0
114,114,604,670,592,624,5,5,2,3,2,2,231,373,673,635,607,987,0,22,29,12,4,16,305,445,706,642,980,704,31,28,19,12,16,13,369,503,700,735,805,897,29,28,29,9,16,10,320,536,684,781,903,725,32,28,19,8,15,9,294,426,527,793,1020,703,31,26,6,14,16,11,290,428,766,558,676,1057,6,30,29,9,16,13,294,290,707,479,678,899,3,30,22,16,9,11,331,327,840,607,734,981,19,9,23,9,10,8,369,331,572,877,953,712,23,24,15,6,11,11,326,304,464,730,867,724,22,29,1,10,11,17,310,154,657,699,640,738,14,10,14,11,3,12,286,154,663,695,702,680,12,10,14,10,4,13,294,368,657,625,718,975,11,23,16,8,16,8,294,368,586,682,930,751,14,25,11,9,17,13,418,392,684,961,1155,578,22,9,13,3,13,12,386,374,939,726,588,1197,11,8,21,9,13,4,199,347,553,541,619,633,13,36,9,16,16,10,0.04311277,0.13922073,0.01883184,0.26319119,0.62031707,0.03876839,0.41347826,0.07222371,0.35273671,0.0351478,0.03562149,0.3148527,0.05827297,0.40004739,0.22610192,0.01275473,0.06960915,0.04601666,0.18187436,0.0284112,0.0254366,0.18222765,0.04549864,0.10599415,0.15578218,0.00110629,0.03343135,0.0439422,0.12357271,0.01972037,0.03017863,0.12711653,0.02243869,0.06265145,0.12788394,0.00445357,0.01691731,0.05517214,0.10508008,0.01597584,0.03590364,0.10226444,0.02412851,0.04166466,0.01854013,0.1310711,0.0084288,0.04597861,0.02511954,0.03618307,0.04636744,0.11983096,0.02810474,0.14084179,0.02106438,0.0776913,0.0118094,0.05498078,0.0512192,0.14219997,0.03003135,0.178557,0.05890015,0.14332448,0.01920143,0.09896402,0.04743691,0.17096499,0.02846054,0.29161168,0.02839796,0.42126976,0.02791793,0.43005892,0.03604496,0.37627791,0
178,198,604,715,560,623,4,7,9,2,1,7,261,319,691,660,581,980,1,22,22,13,3,11,357,349,722,633,934,703,32,28,14,11,15,14,489,393,698,760,771,890,28,28,26,12,15,15,432,438,682,790,859,722,33,26,14,13,16,8,362,408,535,780,976,704,32,26,1,13,15,16,354,406,778,559,646,1050,7,30,22,12,15,14,310,356,721,522,652,898,4,32,19,15,8,6,325,321,862,670,682,978,20,19,20,12,9,7,399,323,568,848,909,711,24,20,14,5,10,16,332,372,480,721,823,721,23,31,6,5,10,16,350,190,653,744,604,739,13,14,9,6,2,15,350,186,665,758,662,679,11,14,11,11,3,8,340,372,675,630,690,972,12,25,13,13,15,11,338,370,590,655,904,748,15,25,8,6,16,18,498,464,678,940,1121,579,23,19,20,4,12,17,452,456,957,779,552,1194,10,18,16,14,12,7,165,303,547,590,579,630,12,34,12,11,17,5,0.09347334,0.15532895,0.1469564,0.20751237,0.66264274,0.04593809,0.41150206,0.12874234,0.30356723,0.03989132,0.03806033,0.33710707,0.07972507,0.37371521,0.22865898,0.04444441,0.03918836,0.07415505,0.1897231,0.05555283,0.04229579,0.19173275,0.03062494,0.12503449,0.13081218,0.05433192,0.04902541,0.06923882,0.19654706,0.06513942,0.03484918,0.12001377,0.07588454,0.04158749,0.07461329,0.06282596,0.06118802,0.03042393,0.12677775,0.05979204,0.02634047,0.06857487,0.08388157,0.06330164,0.05450351,0.0528319,0.06287449,0.06937144,0.03631784,0.07461629,0.05642167,0.12660735,0.05124361,0.12321034,0.04398047,0.00714474,0.03195104,0.04241678,0.05189976,0.1550064,0.02815243,0.19303447,0.02924551,0.0630655,0.03800209,0.02892716,0.08274004,0.22966563,0.03096181,0.33609482,0.11311018,0.40225871,0.04286657,0.40924715,0.15651892,0.31758092,0
175,171,559,653,639,681,1,10,2,4,2,5,224,426,606,582,672,1000,6,21,29,11,4,13,258,504,637,623,1065,747,37,29,23,13,14,10,278,584,675,738,864,922,25,35,35,10,14,11,233,591,647,778,976,772,38,35,23,9,13,6,199,465,482,784,1107,750,37,27,10,15,14,8,201,473,715,557,747,1058,12,29,29,8,14,12,255,357,644,454,763,918,9,29,28,15,7,12,366,344,779,594,775,1006,19,6,29,8,8,13,338,408,515,804,1030,771,29,23,15,7,9,8,259,371,379,719,950,747,28,28,7,11,9,14,245,255,600,670,721,755,10,9,14,10,3,9,253,233,614,682,789,715,8,7,14,9,4,10,277,447,594,628,791,994,17,22,22,7,14,5,263,449,553,655,1015,788,20,26,17,8,15,6,327,325,647,932,1242,643,28,8,13,2,9,7,379,281,866,723,633,1186,5,7,25,8,9,5,290,504,508,512,656,686,17,35,9,15,16,13,0.04065032,0.17113864,0.05637092,0.36111677,0.51160372,0.02942242,0.41463017,0.01617392,0.39430946,0.16246495,0.02829965,0.15365011,0.04691377,0.31523827,0.12631026,0.04613052,0.19281944,0.04144541,0.05790387,0.14436213,0.01923689,0.04796026,0.05145524,0.18329152,0.03337088,0.05491027,0.14490221,0.02351433,0.04337096,0.11734217,0.03240209,0.02593836,0.05365915,0.1321755,0.03162825,0.05612006,0.10858731,0.03000048,0.06374366,0.08562625,0.0430494,0.06134719,0.05460817,0.09148756,0.03670931,0.03996404,0.07189303,0.06980367,0.05385504,0.09089614,0.03891861,0.054283,0.05026758,0.01190527,0.07223495,0.09563474,0.03396834,0.13129244,0.04862879,0.05606308,0.06415748,0.03389782,0.06470778,0.15614299,0.02072443,0.18199669,0.05166625,0.09015764,0.06324192,0.13555485,0.064011,0.25542654,0.00930353,0.39326597,0.04546923,0.40122323,0
